id,name,gender
0,Aabraham,m
1,Aada,f
2,Aadan,m
3,Aadolf,m
4,Aafje,f
5,Aage,m
6,Aali,m
7,Aalis,f
8,Aaliyah,f
9,Aamadu,m
10,Aamina,f
11,Aaminah,f
12,Aaminata,f
13,'Aamir,m
14,Aamir,m
15,Aamu,f
16,Aang,m
17,Aapeli,m
18,Aapo,m
19,Aaren,mf
20,Aarne,m
21,Aaro,m
22,Aarón,m
23,Aaron,m
24,Aart,m
25,Aarthi,f
26,Aarti,f
27,Aase,f
28,Aatami,m
29,Aatos,m
30,Aatto,m
31,Aatu,m
32,Aava,f
33,Abacuc,m
34,Abaddon,m
35,Abbán,m
36,'Abbas,m
37,Abbas,m
38,Abbe,m
39,Abbey,f
40,Abbi,f
41,Abbie,f
42,Abby,f
43,Abd al-Aziz,m
44,Abd al-Hamid,m
45,Abd al-Kader,m
46,Abd al-Karim,m
47,Abd Allah,m
48,Abd al-Latif,m
49,Abd al-Majid,m
50,Abd al-Malik,m
51,Abd al-Qadir,m
52,Abd al-Rahim,m
53,Abd al-Rahman,m
54,Abd al-Rashid,m
55,Abd al-Wali,m
56,Abd ar-Rahman,m
57,Abdelaziz,m
58,Abdelhamid,m
59,Abdelkader,m
60,Abdellatif,m
61,Abdelmajid,m
62,Abderrahim,m
63,Abderrahmane,m
64,Abdias,m
65,Abdiel,m
66,Abdiou,m
67,Abdolhossein,m
68,Abdollah,m
69,Abdolreza,m
70,Abdou,m
71,Abdoul,m
72,Abdoulaye,m
73,Abduh,m
74,Abdul,m
75,Abdulah,m
76,Abdul-Aziz,m
77,Abdul-Hamid,m
78,Abdülhamit,m
79,Abdülkadir,m
80,Abdülkerim,m
81,Abdulla,m
82,Abdullaahi,m
83,Abdullah,m
84,Abdüllatif,m
85,Abdullo,m
86,Abdullohi,m
87,Abdul-Rahman,m
88,Abdurakhman,m
89,Abdur-Rahim,m
90,Abdur-Rahman,m
91,Abdur-Rashid,m
92,Abduweli,m
93,Abe,m
94,Abeba,f
95,Abednego,m
96,Abegail,f
97,Ábel,m
98,Abel,m
99,Abele,m
100,Abelone,f
101,Abena,f
102,Abene,f
103,Abeni,f
104,Abenner,m
105,Aberash,f
106,Abessa,m
107,Abessalom,m
108,Abha,f
109,Abhay,m
110,Abhijeet,m
111,Abhijit,m
112,Abhilash,m
113,Abhilasha,f
114,Abhinav,m
115,Abhishek,m
116,Abi,f
117,Abia,mf
118,Abiah,mf
119,Abiathar,m
120,Abidan,m
121,Abidemi,m
122,Abiel,m
123,Abigaia,f
124,Abigaíl,f
125,Abigaïl,f
126,Abigail,f
127,Abigayle,f
128,Abigél,f
129,Abihu,m
130,Abijah,mf
131,Abilene,f
132,Abílio,m
133,Abilio,m
134,Abimael,m
135,Abimbola,mf
136,Abimelech,m
137,Abiodun,mf
138,Abioye,m
139,Abiram,m
140,Abisai,m
141,Abishag,f
142,Abishai,m
143,Abital,f
144,'Abla,f
145,Abner,m
146,Abolfazl,m
147,Abosede,f
148,Aboubacar,m
149,Abraam,m
150,Abraão,m
151,Ábrahám,m
152,Abraham,m
153,Abram,m
154,Abramo,m
155,Abrar,m
156,Abrasha,m
157,Abril,f
158,Absalom,m
159,Abu,m
160,Abu al-Fadl,m
161,Abubakar,m
162,Abu Bakr,m
163,Abul-Fazl,m
164,Aca,m
165,Acacia,f
166,Acacius,m
167,Acantha,f
168,Ace,m
169,Achaab,m
170,Achab,m
171,Achaicus,m
172,Achaikos,m
173,Achan,m
174,Achard,m
175,'Ach'av,m
176,Acheloios,m
177,Achelous,m
178,Achieng,f
179,Achille,m
180,Achilleas,m
181,Achilles,m
182,Achilleus,m
183,Achim,m
184,Achinoam,f
185,Acke,m
186,Aco,m
187,Ad,m
188,Ada,f
189,Adad,m
190,Adad-Nirari,m
191,Adaeze,f
192,Adah,f
193,Adair,mf
194,Adalberht,m
195,Adalbern,m
196,Adalbert,m
197,Adalberto,m
198,Adalet,f
199,Adalfarus,m
200,Adalfuns,m
201,Adalgard,f
202,Adalhard,m
203,Adalheidis,f
204,Adalia,m
205,Adaline,f
206,Adallindis,f
207,Adalwin,m
208,Adalwolf,m
209,'Adalya',m
210,Adalyn,f
211,Adalynn,f
212,Ádám,m
213,Adam,m
214,Adamina,f
215,Adamo,m
216,Adamou,m
217,Adamu,m
218,Adán,m
219,Adanna,f
220,Adannaya,f
221,Adão,m
222,Adara,f
223,Adde,m
224,Addie,f
225,Addilyn,f
226,Addison,fm
227,Addy,fm
228,Addyson,f
229,Ade,mf
230,Adebayo,m
231,Adebola,mf
232,Adebowale,mf
233,Adedayo,mf
234,Adegoke,m
235,Adél,f
236,Adel,m
237,Adéla,f
238,Adela,f
239,Adelaida,f
240,Adélaïde,f
241,Adelaide,f
242,Adelais,f
243,Adelajda,f
244,Adélard,m
245,Adelardo,m
246,Adelbert,m
247,Adèle,f
248,Adele,f
249,Adelė,f
250,Adelheid,f
251,Adelia,f
252,Adélie,f
253,Adelina,f
254,Adeline,f
255,Adelita,f
256,Adella,f
257,Adelle,f
258,Adelmar,m
259,Adelyn,f
260,Adelynn,f
261,Adem,m
262,Ademar,m
263,Ademaro,m
264,Ademir,m
265,Aden,m
266,Adena,f
267,Adenike,f
268,Adeodatus,m
269,Aderyn,f
270,Adetokunbo,mf
271,Ádhamh,m
272,Adhara,f
273,Adhiambo,f
274,Adi,fm
275,Adil,m
276,Adila,f
277,Adile,f
278,Adilet,m
279,Adin,m
280,Adina,mf
281,'Adinah,m
282,Adino,m
283,Adir,m
284,Adisa,m
285,Aditi,f
286,Aditya,m
287,Adjoa,f
288,Adlai,m
289,Admir,m
290,Adna,f
291,Adnan,m
292,Adolf,m
293,Adolfito,m
294,Adolfo,m
295,Adolph,m
296,Adolphe,m
297,Adolphus,m
298,Adomas,m
299,Adonai,m
300,Adone,m
301,Adonijah,m
302,Adoniram,m
303,Adonis,m
304,'Adoniyah,m
305,Adora,f
306,Adoración,f
307,Adorinda,f
308,Adorján,m
309,Adrastea,f
310,Adrasteia,f
311,Adrastos,m
312,Adria,f
313,Adrià,m
314,Adriaan,m
315,Adrián,m
316,Adrian,m
317,Adriana,f
318,Adrianna,f
319,Adrianne,f
320,Adriano,m
321,Adrianus,m
322,Adriel,m
323,Adrien,m
324,Adriene,f
325,Adrienn,f
326,Adrienne,f
327,Adrijan,m
328,Adrijana,f
329,Adsila,f
330,Adva,f
331,Adwoa,f
332,Adzo,f
333,Æbbe,f
334,Áed,m
335,Áedán,m
336,Áedh,m
337,Aegidius,m
338,Aegle,f
339,Ælfflæd,f
340,Ælfgar,m
341,Ælfgifu,f
342,Ælfheah,m
343,Ælfnoð,m
344,Ælfræd,m
345,Ælfric,m
346,Ælfsige,m
347,Ælfstan,m
348,Ælfswiþ,f
349,Ælfþryð,f
350,Ælfthryth,f
351,Ælfweard,m
352,Ælfwig,m
353,Ælfwine,m
354,Aelia,f
355,Aeliana,f
356,Aelianus,m
357,Aelita,f
358,Aelius,m
359,Aella,f
360,Ælred,m
361,Aemilia,f
362,Aemiliana,f
363,Aemilianus,m
364,Aemilius,m
365,Aeneas,m
366,Aengus,m
367,Aenor,f
368,Aeolus,m
369,Aeron,mf
370,Aerona,f
371,Aeronwen,f
372,Aeronwy,f
373,Æsc,m
374,Aeschylus,m
375,Aesculapius,m
376,Aeson,m
377,Aesop,m
378,Æþelbeorht,m
379,Æðelberht,m
380,Æðelflæd,f
381,Æthelflæd,f
382,Æðelfrið,m
383,Æðelmær,m
384,Æthelnoð,m
385,Æðelræd,m
386,Æþelræd,m
387,Æthelred,m
388,Æðelric,m
389,Æthelric,m
390,Æðelstan,m
391,Æthelstan,m
392,Æðelþryð,f
393,Æthelthryth,f
394,Æthelweard,m
395,Æðelwine,m
396,Æthelwine,m
397,Aetius,m
398,Afaf,f
399,Afan,m
400,Afanasiy,m
401,Afanasy,m
402,Afanen,f
403,Afërdita,f
404,Affan,m
405,Afi,f
406,Afia,f
407,Afif,m
408,Afina,f
409,Afolabi,m
410,Afon,fm
411,Afonso,m
412,Afonya,m
413,Afra,f
414,África,f
415,Àfrica,f
416,Africa,f
417,Africanus,m
418,Afrim,m
419,Afrodita,f
420,Afrodite,f
421,Afroditi,f
422,Afsoon,f
423,Afsoun,f
424,Afsun,f
425,Afua,f
426,Afzal,m
427,Agafon,m
428,Agafya,f
429,Agam,fm
430,Agamemnon,m
431,Agape,f
432,Agapetos,m
433,Agapetus,m
434,Agapi,f
435,Agapios,m
436,Agapito,m
437,Agapitos,m
438,Agar,f
439,Agáta,f
440,Agata,f
441,Agatha,f
442,Agathangelos,m
443,Agathe,f
444,Agathi,f
445,Agathinos,m
446,Agathinus,m
447,Agathon,m
448,Agatino,m
449,Agatka,f
450,Agaue,f
451,Agda,f
452,Åge,m
453,Age,mf
454,Aggie,f
455,Aghavni,f
456,Aghi,m
457,Aghil,m
458,Ági,f
459,Agi,m
460,Agilmar,m
461,Agilulf,m
462,Agim,m
463,Aglaé,f
464,Aglaea,f
465,Aglaia,f
466,Aglaya,f
467,Agmundr,m
468,Agnar,m
469,Agnarr,m
470,Agnė,f
471,Agner,m
472,Ágnes,f
473,Agnès,f
474,Agnes,f
475,Agneša,f
476,Agnesa,f
477,Agnese,f
478,Agnessa,f
479,Agneta,f
480,Agnete,f
481,Agnetha,f
482,Agnethe,f
483,Agneza,f
484,Agni,mf
485,Agnia,f
486,Agnieszka,f
487,Agnija,f
488,Agniya,f
489,Agostina,f
490,Agostinho,m
491,Agostino,m
492,Ágoston,m
493,Ågot,f
494,Ágota,f
495,Agrafena,f
496,Agrippa,mf
497,Agrippina,f
498,Agrona,f
499,Águeda,f
500,Agung,m
501,Agurne,f
502,Agurtzane,f
503,Agus,m
504,Agustí,m
505,Agustín,m
506,Agustina,f
507,Ah,mf
508,Ahab,m
509,Aharon,m
510,Ahava,f
511,Ahenobarbus,m
512,Ahinoam,f
513,Əhməd,m
514,Ahmad,m
515,Ahmadu,m
516,Ahmed,m
517,Ahmet,m
518,Ahmose,m
519,Ahoth,m
520,Ahriman,m
521,Ahtahkakoop,m
522,Ahti,m
523,Ahura Mazda,m
524,Ahuva,f
525,Ai,f
526,Aias,m
527,Aibek,m
528,Aïcha,f
529,Aïchatou,f
530,Aida,f
531,Aidan,m
532,Aiday,f
533,Aideen,f
534,Aiden,m
535,Aifric,f
536,Aigerim,f
537,Aigle,f
538,Aignéis,f
539,Aigul,f
540,Aikaterine,f
541,Aikaterini,f
542,Aike,m
543,Aiko,f
544,Aila,f
545,Ailbhe,fm
546,Áile,f
547,Aileas,f
548,Aileen,f
549,Ailen,f
550,Aili,f
551,Ailill,m
552,Ailín,m
553,Ailís,f
554,Ailpein,m
555,Ailsa,f
556,Aiman,fm
557,Aimé,m
558,Aimée,f
559,Aimee,f
560,Aimi,f
561,Aimilios,m
562,Aimo,m
563,Ain,m
564,Aina,f
565,Ainara,f
566,Ainārs,m
567,Aindrea,m
568,Aindréas,m
569,Aindriú,m
570,Áine,f
571,Aineias,m
572,Aingeal,f
573,Aingeru,m
574,Ainhoa,f
575,Aino,f
576,Ainoa,f
577,Ainslee,f
578,Ainsley,fm
579,Ainslie,f
580,Aintza,f
581,Aintzane,f
